timestamp,delta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,middleGamma,theta,isValid,pid,new_timestamp,trans_time,new_trans_time,seconds,arousal,valence,happy,angry,nervous,sad
1548725861829,91596,46064,54349,19486,31293,30157,1706527,448104,1,10,1548725860808.0,1.021,726.342,5.0,2.0,3.0,1.0,1.0,1.333,1.0
1548725862810,15367,61414,11025,4061,19277,8799,635112,272912,1,10,1548725861829.0,0.981,727.323,5.0,2.0,3.0,1.0,1.0,1.333,1.0
1548725863795,37068,37517,8273,23692,5057,5090,1290500,120436,1,10,1548725862810.0,0.985,728.308,5.0,2.0,3.0,1.0,1.0,1.333,1.0
1548725864810,46654,48427,19342,41059,13789,69146,1925883,58313,1,10,1548725863795.0,1.015,729.323,5.0,2.0,3.0,1.0,1.0,1.333,1.0
1548725865785,79950,49659,15509,36517,10213,18516,515771,186406,1,10,1548725864810.0,0.975,730.298,5.0,2.0,3.0,1.0,1.0,1.333,1.0
1548725866782,5408,3978,2863,1428,4877,2283,110878,10523,1,10,1548725865785.0,0.997,731.295,5.0,2.0,3.0,1.0,1.0,1.333,1.0
1548725867780,4549,1850,11744,9871,3841,5208,1408249,27673,1,10,1548725866782.0,0.998,732.293,10.0,2.333,3.0,1.0,1.0,1.333,1.0
1548725868780,5244,27992,5303,9570,2821,4098,781962,89573,1,10,1548725867780.0,1.0,733.293,10.0,2.333,3.0,1.0,1.0,1.333,1.0
1548725869779,32232,57695,21037,47847,12042,17127,353613,260306,1,10,1548725868780.0,0.999,734.292,10.0,2.333,3.0,1.0,1.0,1.333,1.0
1548725870764,5984,18490,2669,3712,1622,2085,53614,71058,1,10,1548725869779.0,0.985,735.277,10.0,2.333,3.0,1.0,1.0,1.333,1.0
1548725871747,2302,13836,1222,3418,877,2806,146679,44393,1,10,1548725870764.0,0.983,736.26,10.0,2.333,3.0,1.0,1.0,1.333,1.0
1548725872748,2312,4113,1913,881,605,1421,21802,5987,1,10,1548725871747.0,1.001,737.261,10.0,2.333,3.0,1.0,1.0,1.333,1.0
1548725873735,1361,2509,509,550,158,336,188523,15614,1,10,1548725872748.0,0.987,738.248,15.0,2.333,3.0,1.0,1.0,1.333,1.0
1548725874736,5184,11679,10448,3125,5660,7329,65817,15460,1,10,1548725873735.0,1.001,739.249,15.0,2.333,3.0,1.0,1.0,1.333,1.0
1548725875734,12568,12662,5433,1571,764,1066,1250113,76936,1,10,1548725874736.0,0.998,740.247,15.0,2.333,3.0,1.0,1.0,1.333,1.0
1548725876738,14262,139076,17166,37594,9156,9880,981174,540189,1,10,1548725875734.0,1.004,741.251,15.0,2.333,3.0,1.0,1.0,1.333,1.0
1548725877744,30676,7912,10466,6925,11910,5219,823095,241435,1,10,1548725876738.0,1.006,742.257,15.0,2.333,3.0,1.0,1.0,1.333,1.0
1548725878723,5993,12570,1671,1724,740,1230,38982,61337,1,10,1548725877744.0,0.979,743.236,15.0,2.333,3.0,1.0,1.0,1.333,1.0
1548725879717,34088,28212,12363,21407,5120,14643,701011,124289,1,10,1548725878723.0,0.994,744.23,20.0,2.333,3.0,1.0,1.0,1.333,1.0
1548725880725,5786,10107,4358,7355,1961,3316,75490,27077,1,10,1548725879717.0,1.008,745.238,20.0,2.333,3.0,1.0,1.0,1.333,1.0
1548725881704,8317,29786,23222,21050,10969,48878,887987,86795,1,10,1548725880725.0,0.979,746.217,20.0,2.333,3.0,1.0,1.0,1.333,1.0
1548725882689,1958,1118,936,1176,257,3140,106876,7748,1,10,1548725881704.0,0.985,747.202,20.0,2.333,3.0,1.0,1.0,1.333,1.0
1548725883691,6976,8674,4703,3227,2109,8886,73892,13695,1,10,1548725882689.0,1.002,748.204,20.0,2.333,3.0,1.0,1.0,1.333,1.0
1548725884709,6275,41017,29988,21296,10245,26813,298851,143652,1,10,1548725883691.0,1.018,749.222,20.0,2.333,3.0,1.0,1.0,1.333,1.0
1548725885693,25327,24156,17751,21002,11013,13331,810672,71192,1,10,1548725884709.0,0.984,750.206,25.0,3.0,2.667,1.0,1.333,1.0,1.0
1548725886692,3274,2727,4935,3786,1171,962,564687,46153,1,10,1548725885693.0,0.999,751.205,25.0,3.0,2.667,1.0,1.333,1.0,1.0
1548725887679,6432,12708,3763,4453,2266,1156,274492,164472,1,10,1548725886692.0,0.987,752.192,25.0,3.0,2.667,1.0,1.333,1.0,1.0
1548725888679,2287,16837,1864,1458,2149,815,67267,37777,1,10,1548725887679.0,1.0,753.192,25.0,3.0,2.667,1.0,1.333,1.0,1.0
1548725889663,1602,10550,7847,12620,1586,4826,73576,53976,1,10,1548725888679.0,0.984,754.176,25.0,3.0,2.667,1.0,1.333,1.0,1.0
1548725890661,1421,4327,1085,1497,417,854,268210,42282,1,10,1548725889663.0,0.998,755.174,25.0,3.0,2.667,1.0,1.333,1.0,1.0
1548725891663,4136,9371,3111,3260,799,1289,255047,47733,1,10,1548725890661.0,1.002,756.176,30.0,2.0,2.667,1.0,1.333,1.0,1.0
1548725892648,13460,16400,8850,8441,1468,3851,661112,155955,1,10,1548725891663.0,0.985,757.161,30.0,2.0,2.667,1.0,1.333,1.0,1.0
1548725893633,3433,8589,2428,1519,1283,340,138545,11662,1,10,1548725892648.0,0.985,758.146,30.0,2.0,2.667,1.0,1.333,1.0,1.0
1548725894650,22823,6090,22538,10453,4616,5066,584596,127053,1,10,1548725893633.0,1.017,759.163,30.0,2.0,2.667,1.0,1.333,1.0,1.0
1548725895641,57309,17941,8721,15092,4405,21686,1121126,97224,1,10,1548725894650.0,0.991,760.154,30.0,2.0,2.667,1.0,1.333,1.0,1.0
1548725896619,33225,55357,85722,85102,25754,51621,304283,1039870,1,10,1548725895641.0,0.978,761.132,30.0,2.0,2.667,1.0,1.333,1.0,1.0
1548725897635,29473,47038,42473,35022,16271,25476,2057390,596686,1,10,1548725896619.0,1.016,762.148,35.0,2.0,2.667,1.0,1.333,1.0,1.0
1548725898621,76857,23101,30046,103718,15962,23644,61999,36273,1,10,1548725897635.0,0.986,763.134,35.0,2.0,2.667,1.0,1.333,1.0,1.0
1548725899625,37472,15790,16970,28119,9009,10496,3706413,446331,1,10,1548725898621.0,1.004,764.138,35.0,2.0,2.667,1.0,1.333,1.0,1.0
1548725900613,2668,3829,2917,1763,739,207,72708,47031,1,10,1548725899625.0,0.988,765.126,35.0,2.0,2.667,1.0,1.333,1.0,1.0
1548725901607,6011,26894,2592,3085,4332,1779,134662,39433,1,10,1548725900613.0,0.994,766.12,35.0,2.0,2.667,1.0,1.333,1.0,1.0
1548725902600,1355,2799,1603,1016,1306,3939,258855,26948,1,10,1548725901607.0,0.993,767.113,35.0,2.0,2.667,1.0,1.333,1.0,1.0
1548725903589,3232,16286,4504,2426,4914,1432,33140,15710,1,10,1548725902600.0,0.989,768.102,40.0,2.667,2.667,1.0,1.333,1.0,1.0
1548725904607,1201,1582,1297,735,575,289,99671,14886,1,10,1548725903589.0,1.018,769.12,40.0,2.667,2.667,1.0,1.333,1.0,1.0
1548725905631,978,7428,1639,206,2343,937,23367,20835,1,10,1548725904607.0,1.024,770.144,40.0,2.667,2.667,1.0,1.333,1.0,1.0
1548725906593,4227,8860,27705,4616,8721,5632,24789,6994,1,10,1548725905631.0,0.962,771.106,40.0,2.667,2.667,1.0,1.333,1.0,1.0
1548725907578,5375,10357,3507,6527,1856,3575,292050,57023,1,10,1548725906593.0,0.985,772.091,40.0,2.667,2.667,1.0,1.333,1.0,1.0
1548725908578,13527,40468,2543,4725,1772,1510,218095,87387,1,10,1548725907578.0,1.0,773.091,40.0,2.667,2.667,1.0,1.333,1.0,1.0
1548725909562,2986,3972,997,994,294,675,133580,21979,1,10,1548725908578.0,0.984,774.075,45.0,2.667,2.667,1.0,1.333,1.0,1.0
1548725910562,3050,4241,1191,2667,166,599,54656,17842,1,10,1548725909562.0,1.0,775.075,45.0,2.667,2.667,1.0,1.333,1.0,1.0
1548725911570,14969,9610,12862,22982,11329,12318,203793,156757,1,10,1548725910562.0,1.008,776.083,45.0,2.667,2.667,1.0,1.333,1.0,1.0
1548725912550,6036,28789,13924,34406,10917,8919,1289430,182055,1,10,1548725911570.0,0.98,777.063,45.0,2.667,2.667,1.0,1.333,1.0,1.0
1548725913548,1942,4243,2274,1133,1014,1410,146534,14474,1,10,1548725912550.0,0.998,778.061,45.0,2.667,2.667,1.0,1.333,1.0,1.0
1548725914530,1941,811,4118,8237,1785,1350,247975,22374,1,10,1548725913548.0,0.982,779.043,45.0,2.667,2.667,1.0,1.333,1.0,1.0
1548725915531,1091,1738,675,641,332,519,136530,6738,1,10,1548725914530.0,1.001,780.044,50.0,2.333,2.667,1.0,1.0,1.0,1.0
1548725916535,10520,5979,6628,3323,3106,1288,491842,31500,1,10,1548725915531.0,1.004,781.048,50.0,2.333,2.667,1.0,1.0,1.0,1.0
1548725917517,4626,12275,1580,2362,1888,2076,124678,44188,1,10,1548725916535.0,0.982,782.03,50.0,2.333,2.667,1.0,1.0,1.0,1.0
1548725918524,1525,4248,4010,1980,2584,1528,176875,4343,1,10,1548725917517.0,1.007,783.037,50.0,2.333,2.667,1.0,1.0,1.0,1.0
1548725919517,1012,1504,1278,714,750,557,107979,34436,1,10,1548725918524.0,0.993,784.03,50.0,2.333,2.667,1.0,1.0,1.0,1.0
1548725920501,2413,4184,3057,3503,2288,2168,129840,7948,1,10,1548725919517.0,0.984,785.014,50.0,2.333,2.667,1.0,1.0,1.0,1.0
1548725921503,1929,3219,1130,1066,255,337,11619,5978,1,10,1548725920501.0,1.002,786.016,55.0,2.333,2.667,1.0,1.0,1.0,1.0
1548725922499,9715,5695,2847,6936,896,2610,838177,7881,1,10,1548725921503.0,0.996,787.012,55.0,2.333,2.667,1.0,1.0,1.0,1.0
1548725923490,2067,3107,2888,2015,1340,1929,14328,3170,1,10,1548725922499.0,0.991,788.003,55.0,2.333,2.667,1.0,1.0,1.0,1.0
1548725924492,1339,4472,2868,3346,1898,1402,115115,10206,1,10,1548725923490.0,1.002,789.005,55.0,2.333,2.667,1.0,1.0,1.0,1.0
1548725925498,3390,7414,6826,3793,2819,1358,295153,42793,1,10,1548725924492.0,1.006,790.011,55.0,2.333,2.667,1.0,1.0,1.0,1.0
1548725926474,7301,15269,3590,2160,1736,2881,42598,15930,1,10,1548725925498.0,0.976,790.987,55.0,2.333,2.667,1.0,1.0,1.0,1.0
1548725927492,2064,5288,7005,6933,1670,2432,185483,36382,1,10,1548725926474.0,1.018,792.005,60.0,2.0,2.667,1.0,1.0,1.0,1.0
1548725928468,638,1838,652,445,500,359,71928,15271,1,10,1548725927492.0,0.976,792.981,60.0,2.0,2.667,1.0,1.0,1.0,1.0
1548725929460,4074,5372,1487,1141,449,543,35146,8287,1,10,1548725928468.0,0.992,793.973,60.0,2.0,2.667,1.0,1.0,1.0,1.0
1548725930469,1502,1481,1463,2020,1832,2122,11938,5214,1,10,1548725929460.0,1.009,794.982,60.0,2.0,2.667,1.0,1.0,1.0,1.0
1548725931457,82368,67923,58566,57476,16701,53376,1690992,1135470,1,10,1548725930469.0,0.988,795.97,60.0,2.0,2.667,1.0,1.0,1.0,1.0
1548725932462,4465,6483,8177,7765,7801,28580,229276,65944,1,10,1548725931457.0,1.005,796.975,60.0,2.0,2.667,1.0,1.0,1.0,1.0
1548725933446,92357,27792,26387,41318,34908,32441,335240,250383,1,10,1548725932462.0,0.984,797.959,65.0,2.667,2.667,1.0,1.0,1.0,1.0
1548725934430,2221,2028,2118,871,736,1183,274489,6803,1,10,1548725933446.0,0.984,798.943,65.0,2.667,2.667,1.0,1.0,1.0,1.0
1548725935448,14403,5033,4766,6647,3446,4152,63920,13243,1,10,1548725934430.0,1.018,799.961,65.0,2.667,2.667,1.0,1.0,1.0,1.0
1548725936414,10286,28755,19958,14910,14226,25509,79461,34169,1,10,1548725935448.0,0.966,800.927,65.0,2.667,2.667,1.0,1.0,1.0,1.0
1548725937431,2977,4115,5678,3302,3755,2355,37067,14246,1,10,1548725936414.0,1.017,801.944,65.0,2.667,2.667,1.0,1.0,1.0,1.0
1548725938414,12292,17996,9008,12237,3107,2769,406356,199768,1,10,1548725937431.0,0.983,802.927,65.0,2.667,2.667,1.0,1.0,1.0,1.0
1548725939403,3218,1733,3375,1200,3198,5532,12142,2596,1,10,1548725938414.0,0.989,803.916,70.0,2.0,2.667,1.0,1.0,1.0,1.0
1548725940417,14309,15313,4267,9688,4193,3626,186103,47399,1,10,1548725939403.0,1.014,804.93,70.0,2.0,2.667,1.0,1.0,1.0,1.0
1548725941419,15336,16835,31674,14942,17903,18879,834782,352394,1,10,1548725940417.0,1.002,805.932,70.0,2.0,2.667,1.0,1.0,1.0,1.0
1548725942384,34290,46870,7824,12780,5467,3043,1350171,69573,1,10,1548725941419.0,0.965,806.897,70.0,2.0,2.667,1.0,1.0,1.0,1.0
1548725943387,36859,18143,26898,22109,10818,11275,197007,72397,1,10,1548725942384.0,1.003,807.9,70.0,2.0,2.667,1.0,1.0,1.0,1.0
1548725944390,2738,905,1494,1592,602,1172,59834,29846,1,10,1548725943387.0,1.003,808.903,70.0,2.0,2.667,1.0,1.0,1.0,1.0
1548725945388,3766,5258,4069,2195,2488,4414,79424,12840,1,10,1548725944390.0,0.998,809.901,75.0,2.0,2.667,1.0,1.0,1.333,1.0
1548725946389,2581,369,3710,762,433,810,71704,52413,1,10,1548725945388.0,1.001,810.902,75.0,2.0,2.667,1.0,1.0,1.333,1.0
1548725947393,1895,4270,10455,5071,3239,3248,141959,46524,1,10,1548725946389.0,1.004,811.906,75.0,2.0,2.667,1.0,1.0,1.333,1.0
1548725948374,22577,31153,9431,23709,3070,7269,2189172,357208,1,10,1548725947393.0,0.981,812.887,75.0,2.0,2.667,1.0,1.0,1.333,1.0
1548725949363,2530,2257,3946,931,1280,2899,16045,10568,1,10,1548725948374.0,0.989,813.876,75.0,2.0,2.667,1.0,1.0,1.333,1.0
1548725950342,5457,2776,4704,2069,1473,2249,97229,31163,1,10,1548725949363.0,0.979,814.855,75.0,2.0,2.667,1.0,1.0,1.333,1.0
1548725951360,12760,4364,1634,3057,1194,1053,29622,24906,1,10,1548725950342.0,1.018,815.873,80.0,2.667,2.667,1.0,1.0,1.333,1.0
1548725952358,10793,36396,7073,6560,3245,4902,109775,162959,1,10,1548725951360.0,0.998,816.871,80.0,2.667,2.667,1.0,1.0,1.333,1.0
1548725953342,1900,2212,809,5557,1054,942,185622,12942,1,10,1548725952358.0,0.984,817.855,80.0,2.667,2.667,1.0,1.0,1.333,1.0
1548725954346,11004,10471,9070,10104,7495,4531,41264,13186,1,10,1548725953342.0,1.004,818.859,80.0,2.667,2.667,1.0,1.0,1.333,1.0
1548725955331,5287,9215,11463,17384,4527,1912,49231,55631,1,10,1548725954346.0,0.985,819.844,80.0,2.667,2.667,1.0,1.0,1.333,1.0
1548725956333,49475,28684,6215,27080,2564,9060,40960,56090,1,10,1548725955331.0,1.002,820.846,80.0,2.667,2.667,1.0,1.0,1.333,1.0
1548725957323,1502,1192,316,231,108,173,35663,2589,1,10,1548725956333.0,0.99,821.836,85.0,2.0,2.667,1.0,1.0,1.333,1.0
1548725958312,1777,1874,736,2861,459,1702,210690,13092,1,10,1548725957323.0,0.989,822.825,85.0,2.0,2.667,1.0,1.0,1.333,1.0
1548725959316,5520,17650,8940,8814,8502,20623,444604,56796,1,10,1548725958312.0,1.004,823.829,85.0,2.0,2.667,1.0,1.0,1.333,1.0
1548725960317,3941,3994,26370,4346,4497,7003,13228,14132,1,10,1548725959316.0,1.001,824.83,85.0,2.0,2.667,1.0,1.0,1.333,1.0
1548725961317,5592,17780,4639,11247,838,1191,133491,54737,1,10,1548725960317.0,1.0,825.83,85.0,2.0,2.667,1.0,1.0,1.333,1.0
1548725962283,2159,5736,3771,2465,2138,1607,316377,43303,1,10,1548725961317.0,0.966,826.796,85.0,2.0,2.667,1.0,1.0,1.333,1.0
1548725963296,11301,36952,14383,8801,8315,11460,44399,47622,1,10,1548725962283.0,1.013,827.809,90.0,2.667,2.667,1.0,1.0,1.0,1.0
1548725964307,27617,5083,9548,14091,7898,11186,642858,50100,1,10,1548725963296.0,1.011,828.82,90.0,2.667,2.667,1.0,1.0,1.0,1.0
1548725965289,8602,1536,16234,13591,8012,14805,21502,59825,1,10,1548725964307.0,0.982,829.802,90.0,2.667,2.667,1.0,1.0,1.0,1.0
1548725966279,9751,2851,2323,5817,2353,1787,87461,9031,1,10,1548725965289.0,0.99,830.792,90.0,2.667,2.667,1.0,1.0,1.0,1.0
1548725967273,11969,25425,9385,2940,4167,4787,484961,67321,1,10,1548725966279.0,0.994,831.786,90.0,2.667,2.667,1.0,1.0,1.0,1.0
1548725968268,5654,8766,2332,4152,1742,2308,33104,18911,1,10,1548725967273.0,0.995,832.781,90.0,2.667,2.667,1.0,1.0,1.0,1.0
1548725969278,7508,11623,5575,5358,2508,3239,1413162,45820,1,10,1548725968268.0,1.01,833.791,95.0,3.0,2.667,1.0,1.0,1.333,1.0
1548725970247,15375,27361,5512,10875,3718,2217,1099391,130472,1,10,1548725969278.0,0.969,834.76,95.0,3.0,2.667,1.0,1.0,1.333,1.0
1548725971239,9376,12731,3629,13389,4437,4902,156343,134445,1,10,1548725970247.0,0.992,835.752,95.0,3.0,2.667,1.0,1.0,1.333,1.0
1548725972245,57147,9125,20919,72135,17823,12227,618301,812629,1,10,1548725971239.0,1.006,836.758,95.0,3.0,2.667,1.0,1.0,1.333,1.0
1548725973241,49798,18639,16896,21104,7773,5814,2540938,203786,1,10,1548725972245.0,0.996,837.754,95.0,3.0,2.667,1.0,1.0,1.333,1.0
1548725974277,3038,4715,1831,1346,182,378,133571,7068,1,10,1548725973241.0,1.036,838.79,95.0,3.0,2.667,1.0,1.0,1.333,1.0
1548725975249,18498,19782,16543,15870,12157,18915,2791173,171428,1,10,1548725974277.0,0.972,839.762,100.0,2.667,2.333,1.0,1.0,1.333,1.0
1548725976234,48364,4744,21645,8521,9478,14132,161537,86886,1,10,1548725975249.0,0.985,840.747,100.0,2.667,2.333,1.0,1.0,1.333,1.0
1548725977223,15708,33906,23015,14802,3576,3845,962167,98580,1,10,1548725976234.0,0.989,841.736,100.0,2.667,2.333,1.0,1.0,1.333,1.0
1548725978232,42411,155384,104723,227951,8773,30042,1373509,321569,1,10,1548725977223.0,1.009,842.745,100.0,2.667,2.333,1.0,1.0,1.333,1.0
1548725979199,2064,3485,1628,1767,583,885,144726,12418,1,10,1548725978232.0,0.967,843.712,100.0,2.667,2.333,1.0,1.0,1.333,1.0
1548725980195,39860,115737,32083,58183,9739,18764,645059,322332,1,10,1548725979199.0,0.996,844.708,100.0,2.667,2.333,1.0,1.0,1.333,1.0
