timestamp,delta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,middleGamma,theta,isValid,pid,new_timestamp,trans_time,new_trans_time,seconds,arousal,valence,happy,angry,nervous,sad
1548120820689,151358,77237,53420,77722,9556,7736,1453364,813273,1,1,1548120819693.0,0.996,709.163,5.0,1.333,2.667,1.667,1.0,1.333,1.0
1548120821697,18626,36372,21400,55311,2814,4741,1079635,134751,1,1,1548120820689.0,1.008,710.171,5.0,1.333,2.667,1.667,1.0,1.333,1.0
1548120822667,8023,36135,11053,10367,2366,1512,101985,60068,1,1,1548120821697.0,0.97,711.141,5.0,1.333,2.667,1.667,1.0,1.333,1.0
1548120823726,36935,46703,93904,105495,7960,7016,992061,421516,1,1,1548120822667.0,1.059,712.2,5.0,1.333,2.667,1.667,1.0,1.333,1.0
1548120824687,28364,148108,36245,67606,4933,7927,594838,595962,1,1,1548120823726.0,0.961,713.161,5.0,1.333,2.667,1.667,1.0,1.333,1.0
1548120825657,31149,59878,87435,86570,15817,56159,136849,216533,1,1,1548120824687.0,0.97,714.131,5.0,1.333,2.667,1.667,1.0,1.333,1.0
1548120826677,5767,3474,3372,2179,204,1632,144114,12578,1,1,1548120825657.0,1.02,715.151,10.0,1.667,2.667,1.667,1.0,1.333,1.0
1548120827666,7269,1664,4530,3029,356,932,136440,10944,1,1,1548120826677.0,0.989,716.14,10.0,1.667,2.667,1.667,1.0,1.333,1.0
1548120828661,132058,153831,33396,45910,5149,12904,1638890,98087,1,1,1548120827666.0,0.995,717.135,10.0,1.667,2.667,1.667,1.0,1.333,1.0
1548120829666,20838,76630,86977,59392,7004,21240,1161800,469199,1,1,1548120828661.0,1.005,718.14,10.0,1.667,2.667,1.667,1.0,1.333,1.0
1548120830647,267939,202154,87124,224655,14137,15222,1503425,238753,1,1,1548120829666.0,0.981,719.121,10.0,1.667,2.667,1.667,1.0,1.333,1.0
1548120831651,9409,8423,31951,45414,1272,1685,502910,100951,1,1,1548120830647.0,1.004,720.125,10.0,1.667,2.667,1.667,1.0,1.333,1.0
1548120832634,54281,47809,22442,47152,3589,5580,2847872,22250,1,1,1548120831651.0,0.983,721.108,15.0,2.0,2.667,1.333,1.0,1.333,1.0
1548120833620,17008,11037,8661,10803,1128,2554,569251,78575,1,1,1548120832634.0,0.986,722.094,15.0,2.0,2.667,1.333,1.0,1.333,1.0
1548120834624,28336,33117,18399,8394,923,1520,154823,69602,1,1,1548120833620.0,1.004,723.098,15.0,2.0,2.667,1.333,1.0,1.333,1.0
1548120835640,11880,7132,44080,36641,4172,12490,1029478,259492,1,1,1548120834624.0,1.016,724.114,15.0,2.0,2.667,1.333,1.0,1.333,1.0
1548120836626,82981,122112,45438,145955,13632,24565,821476,268635,1,1,1548120835640.0,0.986,725.1,15.0,2.0,2.667,1.333,1.0,1.333,1.0
1548120837610,83559,65124,56997,50027,3305,17548,758282,460042,1,1,1548120836626.0,0.984,726.084,15.0,2.0,2.667,1.333,1.0,1.333,1.0
1548120838614,12858,12742,12179,22008,535,2137,127526,48085,1,1,1548120837610.0,1.004,727.088,20.0,2.0,3.0,1.333,1.0,1.333,1.0
1548120839598,46056,52662,49051,26773,5707,25063,2206769,199486,1,1,1548120838614.0,0.984,728.072,20.0,2.0,3.0,1.333,1.0,1.333,1.0
1548120840619,419365,33472,199112,219963,16735,18966,817776,962007,1,1,1548120839598.0,1.021,729.093,20.0,2.0,3.0,1.333,1.0,1.333,1.0
1548120841599,25361,65721,17002,89637,10992,11744,642484,504674,1,1,1548120840619.0,0.98,730.073,20.0,2.0,3.0,1.333,1.0,1.333,1.0
1548120842594,100478,221550,30460,75628,5589,25644,930405,276252,1,1,1548120841599.0,0.995,731.068,20.0,2.0,3.0,1.333,1.0,1.333,1.0
1548120843605,59418,50833,25490,33899,2459,11736,690230,611998,1,1,1548120842594.0,1.011,732.079,20.0,2.0,3.0,1.333,1.0,1.333,1.0
1548120844605,138004,233900,17508,42124,5902,7624,277297,484561,1,1,1548120843605.0,1.0,733.079,25.0,2.0,3.0,1.333,1.0,1.333,1.0
1548120845599,182803,386168,128820,399995,16625,62010,1362934,818945,1,1,1548120844605.0,0.994,734.073,25.0,2.0,3.0,1.333,1.0,1.333,1.0
1548120846577,88032,48341,38757,28754,6822,6860,915419,461590,1,1,1548120845599.0,0.978,735.051,25.0,2.0,3.0,1.333,1.0,1.333,1.0
1548120847581,4105,5013,29521,12835,4202,5263,607160,123291,1,1,1548120846577.0,1.004,736.055,25.0,2.0,3.0,1.333,1.0,1.333,1.0
1548120848585,7785,39671,10364,45643,2288,7805,593510,91272,1,1,1548120847581.0,1.004,737.059,25.0,2.0,3.0,1.333,1.0,1.333,1.0
1548120849570,55621,45574,29409,40817,9399,20380,302697,380821,1,1,1548120848585.0,0.985,738.044,25.0,2.0,3.0,1.333,1.0,1.333,1.0
1548120850550,60200,89221,75662,54120,6435,10608,409029,133630,1,1,1548120849570.0,0.98,739.024,30.0,2.667,3.333,1.333,1.0,1.333,1.0
1548120851564,45321,120775,63032,59403,4040,14838,633002,282770,1,1,1548120850550.0,1.014,740.038,30.0,2.667,3.333,1.333,1.0,1.333,1.0
1548120852555,31919,43150,62991,37962,6117,9283,696079,844299,1,1,1548120851564.0,0.991,741.029,30.0,2.667,3.333,1.333,1.0,1.333,1.0
1548120853540,34580,25084,36238,15326,4370,6618,1717171,437694,1,1,1548120852555.0,0.985,742.014,30.0,2.667,3.333,1.333,1.0,1.333,1.0
1548120854546,8170,14105,11706,8478,1398,1653,89584,89058,1,1,1548120853540.0,1.006,743.02,30.0,2.667,3.333,1.333,1.0,1.333,1.0
1548120855565,41583,146161,71074,48016,4689,12333,540582,842827,1,1,1548120854546.0,1.019,744.039,30.0,2.667,3.333,1.333,1.0,1.333,1.0
1548120856528,188111,86252,84943,114428,9515,6888,797669,161076,1,1,1548120855565.0,0.963,745.002,35.0,2.667,3.333,1.333,1.0,1.333,1.0
1548120857551,38225,8076,15087,20656,1670,4170,1334865,185975,1,1,1548120856528.0,1.023,746.025,35.0,2.667,3.333,1.333,1.0,1.333,1.0
1548120858535,211066,65814,24255,66017,6078,24709,936065,185156,1,1,1548120857551.0,0.984,747.009,35.0,2.667,3.333,1.333,1.0,1.333,1.0
1548120859535,29545,17968,8725,6558,2023,1961,866447,49285,1,1,1548120858535.0,1.0,748.009,35.0,2.667,3.333,1.333,1.0,1.333,1.0
1548120860528,9309,16946,16340,26762,1303,4122,1886012,90649,1,1,1548120859535.0,0.993,749.002,35.0,2.667,3.333,1.333,1.0,1.333,1.0
1548120861523,24878,75283,66402,41784,10366,5781,1038764,543646,1,1,1548120860528.0,0.995,749.997,35.0,2.667,3.333,1.333,1.0,1.333,1.0
1548120862521,79477,66814,55215,40168,8103,5056,630839,412791,1,1,1548120861523.0,0.998,750.995,40.0,2.667,3.0,1.333,1.0,1.333,1.0
